Nombre,Teléfono,Dirección,Lat,Lng,Rating,Reseñas,Horarios
Vintage Shop,,"Via C. Benso di Cavour, 42, 14100 Asti AT, Italia",44.8983481,8.2046558,,,"giovedì: 10 to 12:30, 16:30 to 19:30 | venerdì: 10 to 12:30, 16:30 to 19:30 | sabato: 10 to 12:30, 16:30 to 19:30 | domenica: Chiuso | lunedì: Chiuso | martedì: 10 to 12:30, 16:30 to 19:30 | mercoledì: 10 to 12:30, 16:30 to 19:30"
Centro Commerciale Nuovo Borgo,+39 0141 271900,"Corso Casale, 319, 14100 Asti AT, Italia",44.915273,8.2250931,4.2,7563,giovedì: 09 to 20 | venerdì: 09 to 20 | sabato: 09 to 20 | domenica: 09 to 20 | lunedì: 09 to 20 | martedì: 09 to 20 | mercoledì: 09 to 20
Atipici shop,+39 0141 178 4386,"Piazza Vittorio Alfieri, 48, 14100 Asti AT, Italia",44.8995627,8.2064891,4.9,71,"giovedì: 10 to 13, 15 to 19:30 | venerdì: 10 to 13, 15 to 19:30 | sabato: 10 to 19:30 | domenica: 10 to 13, 15:30 to 19:30 | lunedì: 10 to 13, 15 to 19:30 | martedì: 10 to 13, 15 to 19:30 | mercoledì: 10 to 13, 15 to 19:30"
Mercatò,+39 0141 599044,"Via Bra, 2, 14100 Asti AT, Italia",44.8908175,8.2071502,4.2,2226,giovedì: 08 to 20:30 | venerdì: 08 to 20:30 | sabato: 08 to 20:30 | domenica: 08:30 to 20 | lunedì: 08 to 20:30 | martedì: 08 to 20:30 | mercoledì: 08 to 20:30
EhyShop,+39 388 974 0343,"Corso Vittorio Alfieri, 241, 14100 Asti AT, Italia",44.9004812,8.2052261,4.8,60,"giovedì: 10 to 13, 15:30 to 19:30 | venerdì: 10 to 13, 15:30 to 19:30 | sabato: 10 to 13, 15 to 19:30 | domenica: Chiuso | lunedì: 15:30 to 19:30 | martedì: 15:30 to 19:30 | mercoledì: 10 to 13, 15:30 to 19:30"
Piazza Italia,+39 0141 178 5943,"Corso Casale, 319, 14100 Asti AT, Italia",44.9153438,8.2260543,3.8,289,giovedì: 09 to 20 | venerdì: 09 to 20 | sabato: 09 to 20 | domenica: 09 to 20 | lunedì: 09 to 20 | martedì: 09 to 20 | mercoledì: 09 to 20
Action Asti C.so Alessandria,,"Corso Alessandria, 563, 14100 Asti AT, Italia",44.9068848,8.2328499,4.3,642,giovedì: 08:45 to 20:30 | venerdì: 08:45 to 20:30 | sabato: 08:45 to 20:30 | domenica: 09 to 20 | lunedì: 08:45 to 20:30 | martedì: 08:45 to 20:30 | mercoledì: 08:45 to 20:30
Unes,+39 0141 410728,"Corso XXV Aprile, Via Carlo Graziani, 26, 14100 Asti AT, Italia",44.9064457,8.1882748,4.1,701,"giovedì: 08 to 20 | venerdì: 08 to 20 | sabato: 08 to 20 | domenica: 09 to 13, 15 to 19:30 | lunedì: 08 to 20 | martedì: 08 to 20 | mercoledì: 08 to 20"
Buena Vita,+39 0141 231502,"Piazza Medici, 22, 14100 Asti AT, Italia",44.9008148,8.2049202,4.9,46,"giovedì: 09:30 to 12:30, 15:30 to 19:30 | venerdì: 09:30 to 12:30, 15:30 to 19:30 | sabato: 09:30 to 12:30, 15:30 to 19:30 | domenica: Chiuso | lunedì: Chiuso | martedì: 09:30 to 12:30, 15:30 to 19:30 | mercoledì: 09:30 to 12:30, 15:30 to 19:30"
Mercatò,+39 0141 273358,"Viale Pilone, 97, 14100 Asti AT, Italia",44.9038332,8.2230366,4.2,1105,giovedì: 08 to 20:30 | venerdì: 08 to 20:30 | sabato: 08 to 20:30 | domenica: 08:30 to 20 | lunedì: 08 to 20:30 | martedì: 08 to 20:30 | mercoledì: 08 to 20:30
Buffetti,+39 0141 324091,"Piazza S. Secondo, 17, 14100 Asti AT, Italia",44.8993064,8.2041512,4.5,123,"giovedì: 08:30 to 12:30, 15 to 19 | venerdì: 08:30 to 12:30, 15 to 19 | sabato: 08:30 to 12:30, 15 to 19 | domenica: Chiuso | lunedì: 08:30 to 12:30, 15 to 19 | martedì: 08:30 to 12:30, 15 to 19 | mercoledì: 08:30 to 12:30, 15 to 19"
Damico Shop Asti,,"Via C. Benso di Cavour, 68, 14100 Asti AT, Italia",44.8977736,8.2051178,4.9,27,"giovedì: 09:30 to 13:30, 15:30 to 19:30 | venerdì: 09:30 to 13:30, 15:30 to 19:30 | sabato: 09:30 to 13:30, 15:30 to 19:30 | domenica: Chiuso | lunedì: Chiuso | martedì: 09:30 to 13:30, 15:30 to 19:30 | mercoledì: 09:30 to 13:30, 15:30 to 19:30"
Anomalia Asti,+39 0141 352679,"Corso Vittorio Alfieri, 405, 14100 Asti AT, Italia",44.8987889,8.1954329,5,22,"giovedì: 09 to 13, 15 to 19 | venerdì: 09 to 13, 15 to 19 | sabato: 10 to 13 | domenica: Chiuso | lunedì: Chiuso | martedì: 09 to 13, 15 to 19 | mercoledì: 09 to 13, 15 to 19"
Esselunga,+39 0141 411215,"Corso Ivrea, 14100 Asti AT, Italia",44.9064222,8.1840628,4.2,2375,giovedì: 07:30 to 21 | venerdì: 07:30 to 21 | sabato: 07:30 to 21 | domenica: 08 to 14 | lunedì: 07:30 to 21 | martedì: 07:30 to 21 | mercoledì: 07:30 to 21
Comics Corner Asti,+39 0141 091104,"Via Guttuari, 1 A, 14100 Asti AT, Italia",44.8968726,8.2061166,4.9,238,"giovedì: 10:30 to 13, 16 to 19 | venerdì: 10:30 to 13, 16 to 19 | sabato: 10:30 to 13, 16 to 19 | domenica: Chiuso | lunedì: 16 to 19 | martedì: 10:30 to 13, 16 to 19 | mercoledì: 10:30 to 13, 16 to 19"
SUN68 - ASTI,+39 0141 592879,"Corso Vittorio Alfieri, 316, 14100 Asti AT, Italia",44.8997181,8.2027959,4.3,66,"giovedì: 10 to 13, 15:30 to 19:30 | venerdì: 10 to 13, 15:30 to 19:30 | sabato: 10 to 13, 15:30 to 19:30 | domenica: 10 to 13, 15:30 to 19:30 | lunedì: 10 to 13, 15:30 to 19:30 | martedì: 10 to 13, 15:30 to 19:30 | mercoledì: 10 to 13, 15:30 to 19:30"
MediaWorld Asti,+39 02 9475 1717,"Centro comm. Il Borgo, Corso Casale, 319, 14100 Asti AT, Italia",44.9151747,8.2250366,3.8,1754,giovedì: 09 to 20 | venerdì: 09 to 20 | sabato: 09 to 20 | domenica: 09 to 20 | lunedì: 09 to 20 | martedì: 09 to 20 | mercoledì: 09 to 20
Esselunga,+39 0141 477531,"Corso Casale, 319, 14100 Asti AT, Italia",44.9156391,8.2239639,4.3,5019,giovedì: 07:30 to 21 | venerdì: 07:30 to 21 | sabato: 07:30 to 21 | domenica: 08 to 20 | lunedì: 07:30 to 21 | martedì: 07:30 to 21 | mercoledì: 07:30 to 21
Automatic Market h24,+39 331 583 2183,"Corso Torino, 213, 14100 Asti AT, Italia",44.9039863,8.188815,4.9,11,giovedì: Aperto 24 ore su 24 | venerdì: Aperto 24 ore su 24 | sabato: Aperto 24 ore su 24 | domenica: Aperto 24 ore su 24 | lunedì: Aperto 24 ore su 24 | martedì: Aperto 24 ore su 24 | mercoledì: Aperto 24 ore su 24
Happy Casa Store Asti,+39 0141 175 0104,"Via Bra, 1, 14100 Asti AT, Italia",44.8900919,8.2073098,4.1,1515,giovedì: 09 to 20 | venerdì: 09 to 20 | sabato: 09 to 20 | domenica: 09 to 20 | lunedì: 09 to 20 | martedì: 09 to 20 | mercoledì: 09 to 20
Super Shopping,+39 0141 232266,"Via Francesco Crispi, 17, 14100 Asti AT, Italia",44.9015199,8.2064274,3.9,21,giovedì: 09 to 19:30 | venerdì: 09 to 19:30 | sabato: 09 to 19:30 | domenica: 10 to 19:30 | lunedì: 09 to 19:30 | martedì: 09 to 19:30 | mercoledì: 09 to 19:30
Keven Style,,"Viale Pilone, 104, 14100 Asti AT, Italia",44.9045448,8.2232131,3.8,715,giovedì: 09 to 20 | venerdì: 09 to 20 | sabato: 09 to 20 | domenica: 09 to 20 | lunedì: 09 to 20 | martedì: 09 to 20 | mercoledì: 09 to 20
gamelife,+39 0141 273055,"Corso Casale, 319, 14100 Asti AL, Italia",44.9150346,8.2258485,4.2,511,giovedì: 09 to 20 | venerdì: 09 to 20 | sabato: 09 to 20 | domenica: 09 to 20 | lunedì: 09 to 20 | martedì: 09 to 20 | mercoledì: 09 to 20
Erreà Play Asti,+39 0141 180 8197,"Str. Giuseppe Cavanenghi, 1, 14100 Asti AT, Italia",44.9022597,8.1668438,3.5,88,"giovedì: 08 to 12, 13:30 to 17:30 | venerdì: 08 to 12, 13:30 to 17:30 | sabato: Chiuso | domenica: Chiuso | lunedì: 08 to 12, 13:30 to 17:30 | martedì: 08 to 12, 13:30 to 17:30 | mercoledì: 08 to 12, 13:30 to 17:30"
Kasanova,+39 0141 275387,"Corso Casale, 319, 14100 Asti AT, Italia",44.9149365,8.2257567,4,355,giovedì: 09 to 20 | venerdì: 09 to 20 | sabato: 09 to 20 | domenica: 10 to 20 | lunedì: 09 to 20 | martedì: 09 to 20 | mercoledì: 09 to 20
McDonald's Asti Est,+39 0141 178 0521,"Corso Alessandria, 330, 14100 Asti AT, Italia",44.9062498,8.23024,3.6,2682,giovedì: 07 to 01 | venerdì: 07 to 04 | sabato: 10:30 to 04 | domenica: 07 to 01 | lunedì: 07 to 01 | martedì: 07 to 01 | mercoledì: 07 to 01
Risparmio Casa,+39 0141 168 9111,"Corso Alessandria, 349, 14100 Asti AT, Italia",44.9061016,8.2335867,4,1844,giovedì: 09 to 20 | venerdì: 09 to 20 | sabato: 09 to 20 | domenica: 10 to 20 | lunedì: 09 to 20 | martedì: 09 to 20 | mercoledì: 09 to 20
Max Factory,,"Via Pierina Campanella, 5, 14100 Asti AT, Italia",44.9078051,8.2343611,4,391,giovedì: 09 to 20 | venerdì: 09 to 20 | sabato: 09 to 20 | domenica: 09 to 20 | lunedì: 09 to 20 | martedì: 09 to 20 | mercoledì: 09 to 20
TALLY WEiJL,+39 0141 594750,"Corso Vittorio Alfieri, 214, 14100 Asti AT, Italia",44.9005763,8.2061786,3.9,113,giovedì: 09:30 to 19:30 | venerdì: 09:30 to 19:30 | sabato: 09:30 to 19:30 | domenica: 09:30 to 19:30 | lunedì: 09:30 to 19:30 | martedì: 09:30 to 19:30 | mercoledì: 09:30 to 19:30
OVS,+39 0141 476499,"C.C. Il Borgo, Corso Casale, 319, 14100 Asti AT, Italia",44.9155019,8.2253371,3.7,424,giovedì: 09 to 20 | venerdì: 09 to 20 | sabato: 09 to 20 | domenica: 09 to 20 | lunedì: 09 to 20 | martedì: 09 to 20 | mercoledì: 09 to 20
Caffè Vergnano 1882 Asti,+39 351 965 9116,"Corso Casale, 319, 14100 Asti AT, Italia",44.9150805,8.2258396,4.1,321,giovedì: 08:30 to 20 | venerdì: 08:30 to 20 | sabato: 08:30 to 20 | domenica: 08:30 to 20 | lunedì: 08:30 to 20 | martedì: 08:30 to 20 | mercoledì: 08:30 to 20
Flying Tiger Copenhagen,+39 0141 439275,"Centro Commerciale Nuovo Borgo, Corso Casale, 319, 14100 Asti AT, Italia",44.9151782,8.2264001,4.2,904,giovedì: 09 to 20 | venerdì: 09 to 20 | sabato: 09 to 20 | domenica: 09 to 20 | lunedì: 09 to 20 | martedì: 09 to 20 | mercoledì: 09 to 20
BOTTEGA BANLIEUE,,"Corso Vittorio Alfieri, 125/Interno Cortile, 14100 Asti AT, Italia",44.9018648,8.2091906,5,6,giovedì: 09:30 to 19:30 | venerdì: 09:30 to 19:30 | sabato: 09:30 to 19:30 | domenica: Chiuso | lunedì: Chiuso | martedì: 09:30 to 19:30 | mercoledì: 09:30 to 19:30
MOTIVI,+39 0141 595898,"C.so Alfieri, 207, 14100 Asti AT, Italia",44.9007465,8.2062761,4.4,54,"giovedì: 09:30 to 19:30 | venerdì: 09:30 to 19:30 | sabato: 09:30 to 19:30 | domenica: 10 to 12:30, 15:30 to 19:30 | lunedì: 09:30 to 19:30 | martedì: 09:30 to 19:30 | mercoledì: 09:30 to 19:30"
Nipsy Asti,+39 0141 384290,"Corso Vittorio Alfieri, 255, 14100 Asti AT, Italia",44.900223,8.2048651,4.4,12,"giovedì: 10 to 12:30, 15:30 to 19:30 | venerdì: 10 to 19:30 | sabato: 10 to 19:30 | domenica: 10:30 to 19 | lunedì: 15:30 to 19 | martedì: 10 to 12:30, 15:30 to 19:30 | mercoledì: 10 to 19:30"
Upim,+39 0141 152 0010,"C/o C.C. Nuovo Borgo, Corso Casale, 319, 14100 Asti AT, Italia",44.9155914,8.2246809,4.6,118,giovedì: 09 to 20 | venerdì: 09 to 20 | sabato: 09 to 20 | domenica: 09 to 20 | lunedì: 09 to 20 | martedì: 09 to 20 | mercoledì: 09 to 20
Poesia & Vita,+39 338 599 9949,"Piazza Astesano, 20, 14100 Asti AT, Italia",44.8984621,8.2052748,5,31,"giovedì: 10 to 19 | venerdì: 10 to 12:30, 16 to 19 | sabato: 10 to 12:30, 16 to 19 | domenica: Chiuso | lunedì: Chiuso | martedì: 16 to 19 | mercoledì: 10 to 12:30, 16 to 19"
Magazzini di Asti,+39 0141 176 1094,"Str. Valgera, 4, 14100 Asti AT, Italia",44.9153337,8.2202518,4.4,175,"giovedì: 09:30 to 19:30 | venerdì: 09:30 to 19:30 | sabato: 09:30 to 19:30 | domenica: 10 to 13, 15:30 to 19:30 | lunedì: 09:30 to 19:30 | martedì: 09:30 to 19:30 | mercoledì: 09:30 to 19:30"
Armeria Antiche Mura,+39 0141 34953,"Corso Vittorio Alfieri, 438, 14100 Asti AT, Italia",44.8988006,8.1948442,4.9,157,"giovedì: 09:30 to 12:15, 16 to 18:30 | venerdì: 09:30 to 12:15, 16 to 18:30 | sabato: 09:30 to 12:15, 16 to 18:30 | domenica: Chiuso | lunedì: 09:30 to 12:15, 16 to 18:30 | martedì: 09:30 to 12:15, 16 to 18:30 | mercoledì: 09:30 to 12:15, 17:30 to 18:30"
Dimensione Sport,+39 0141 530776,"Via Cesare Battisti, 26, 14100 Asti AT, Italia",44.9008139,8.2052733,4.3,92,"giovedì: 09 to 12:30, 15:30 to 19:30 | venerdì: 09 to 12:30, 15:30 to 19:30 | sabato: 09 to 12:30, 15:30 to 19:30 | domenica: Chiuso | lunedì: 15:30 to 19:30 | martedì: 09 to 12:30, 15:30 to 19:30 | mercoledì: 09 to 12:30, 15:30 to 19:30"
Whim NY 1956 - Asti,+39 0141 321501,"Via Giuseppe Garibaldi, 19, 14100 Asti AT, Italia",44.8992259,8.2057512,4.7,9,"giovedì: 09:30 to 12:30, 15:30 to 19:30 | venerdì: 09:30 to 12:30, 15:30 to 19:30 | sabato: 09:30 to 12:30, 15:30 to 19:30 | domenica: Chiuso | lunedì: 15:30 to 19:30 | martedì: 09:30 to 12:30, 15:30 to 19:30 | mercoledì: 09:30 to 12:30, 15:30 to 19:30"
Kiko Milano,+39 0141 274122,"Corso Casale, 319, 14100 Asti AT, Italia",44.9152306,8.225836,4,63,giovedì: 09 to 20 | venerdì: 09 to 20 | sabato: 09 to 20 | domenica: 09 to 20 | lunedì: 09 to 20 | martedì: 09 to 20 | mercoledì: 09 to 20
Caffetteria Mazzetti,+39 0141 324299,"Corso Vittorio Alfieri, 357, 14100 Asti AT, Italia",44.8997285,8.2009644,4.3,1084,giovedì: 08:30 to 00 | venerdì: 09 to 02 | sabato: 09 to 02 | domenica: 08:30 to 00 | lunedì: 08:30 to 00 | martedì: Chiuso | mercoledì: 08:30 to 00
Sexyland,+39 0141 324048,"Corso Giacomo Matteotti, 2, 14100 Asti AT, Italia",44.8957756,8.2068696,5,1,giovedì: 10 to 20 | venerdì: 10 to 20 | sabato: 10 to 20 | domenica: Chiuso | lunedì: 15:30 to 20 | martedì: 10 to 20 | mercoledì: 10 to 20
Magazzini Eurotessil - Asti Corso Savona,+39 0141 351989,"Corso Savona, 132, 14100 Asti AT, Italia",44.8911297,8.210853,4.4,36,"giovedì: 09 to 12:30, 15:30 to 19:30 | venerdì: 09 to 12:30, 15:30 to 19:30 | sabato: 09 to 12:30, 15:30 to 19:30 | domenica: Chiuso | lunedì: 15:30 to 19:30 | martedì: 09 to 12:30, 15:30 to 19:30 | mercoledì: 09 to 12:30, 15:30 to 19:30"
Gilda Abbigliamento,+39 0141 321718,"Piazza Vittorio Alfieri, 50, 14100 Asti AT, Italia",44.8997843,8.2065424,4.6,178,"giovedì: 09:30 to 12:30, 15:30 to 19:30 | venerdì: 09:30 to 12:30, 15:30 to 19:30 | sabato: 09:30 to 19:30 | domenica: Chiuso | lunedì: 15:30 to 19:30 | martedì: 09:30 to 12:30, 15:30 to 19:30 | mercoledì: 09:30 to 12:30, 15:30 to 19:30"
Paniate Asti,+39 0141 598900,"Corso Don Giovanni Minzoni, 39, 14100 Asti AT, Italia",44.8950547,8.1962471,4.3,1158,"giovedì: 09 to 12:30, 15 to 19:30 | venerdì: 09 to 12:30, 15 to 19:30 | sabato: 09 to 13, 15 to 19:30 | domenica: 15 to 19:30 | lunedì: 15 to 19:30 | martedì: 09 to 12:30, 15 to 19:30 | mercoledì: 09 to 12:30, 15 to 19:30"
OLTRE,+39 0141 594022,"Corso Vittorio Alfieri, 271, 14100 Asti AT, Italia",44.9000778,8.204416,3.9,15,"giovedì: 10 to 13:30, 15:30 to 19:30 | venerdì: 10 to 13:30, 15:30 to 19:30 | sabato: 10 to 13:30, 15:30 to 19:30 | domenica: 10:30 to 12:30, 16 to 19 | lunedì: 15:30 to 19:30 | martedì: 10 to 13:30, 15:30 to 19:30 | mercoledì: 10 to 13:30, 15:30 to 19:30"
Principessa Valentina,+39 335 664 1102,"Via Pietro Micca, 38, 14100 Asti AT, Italia",44.9029754,8.2054608,4.9,26,"giovedì: 10:30 to 12:30, 16:30 to 18:30 | venerdì: 10:30 to 12:30, 16:30 to 18:30 | sabato: Chiuso | domenica: Chiuso | lunedì: 10:30 to 12:30, 16:30 to 18:30 | martedì: 10:30 to 12:30, 16:30 to 18:30 | mercoledì: 10:30 to 12:30, 16:30 to 18:30"
Kisené - Asti Borgo Nuovo,+39 0141 176 1472,"C.Commerciale Nuovo Borgo, Corso Casale, 319, 14100 Asti AT, Italia",44.9153694,8.2239406,1.9,15,giovedì: 09 to 20 | venerdì: 09 to 20 | sabato: 09 to 20 | domenica: 09 to 20 | lunedì: 09 to 20 | martedì: 09 to 20 | mercoledì: 09 to 20
Shopping Fashion Mood,,"Corso Vittorio Alfieri, 457, 14100 Asti AT, Italia",44.8994299,8.194427,,,"giovedì: 09:30 to 13, 15:30 to 19:30 | venerdì: 09:30 to 13, 15:30 to 19:30 | sabato: 09:30 to 13, 15:30 to 19:30 | domenica: Chiuso | lunedì: 15:30 to 19:30 | martedì: 09:30 to 13, 15:30 to 19:30 | mercoledì: 09:30 to 13, 15:30 to 19:30"
Caffetteria Pilone,+39 0141 382882,"Viale Pilone, 258, 14100 Asti AT, Italia",44.905582,8.2296576,4.6,146,giovedì: 05 to 20:30 | venerdì: 05 to 20:30 | sabato: 05 to 20:30 | domenica: 07 to 13 | lunedì: 05 to 20:30 | martedì: 05 to 20:30 | mercoledì: 05 to 20:30
Decathlon Asti,+39 0141 188 4505,"Via Pierina Campanella, 7, 14100 Asti AT, Italia",44.9074803,8.2349456,4.4,739,giovedì: 09 to 20 | venerdì: 09 to 20 | sabato: 09 to 20 | domenica: 09 to 20 | lunedì: 09 to 20 | martedì: 09 to 20 | mercoledì: 09 to 20
